id,c_pais,descripcion,formato_cp,formato_rit,validacion_rit,agrupacion
catalogos_paises1,AFG,Afganistán,,,,
catalogos_paises2,ALA,Islas Åland,,,,
catalogos_paises3,ALB,Albania,,,,
catalogos_paises4,DEU,Alemania,,,,Unión Europea
catalogos_paises5,AND,Andorra,,,,
catalogos_paises6,AGO,Angola,,,,
catalogos_paises7,AIA,Anguila,,,,
catalogos_paises8,ATA,Antártida,,,,
catalogos_paises9,ATG,Antigua y Barbuda,,,,
catalogos_paises10,SAU,Arabia Saudita,,,,
catalogos_paises11,DZA,Argelia,,,,
catalogos_paises12,ARG,Argentina,,,,
catalogos_paises13,ARM,Armenia,,,,
catalogos_paises14,ABW,Aruba,,,,
catalogos_paises15,AUS,Australia,,,,
catalogos_paises16,AUT,Austria,,,,Unión Europea
catalogos_paises17,AZE,Azerbaiyán,,,,
catalogos_paises18,BHS,Bahamas (las),,,,
catalogos_paises19,BGD,Bangladés,,,,
catalogos_paises20,BRB,Barbados,,,,
catalogos_paises21,BHR,Baréin,,,,
catalogos_paises22,BEL,Bélgica,,,,Unión Europea
catalogos_paises23,BLZ,Belice,,,,
catalogos_paises24,BEN,Benín,,,,
catalogos_paises25,BMU,Bermudas,,,,
catalogos_paises26,BLR,Bielorrusia,,,,
catalogos_paises27,MMR,Myanmar,,,,
catalogos_paises28,BOL,"Bolivia, Estado Plurinacional de",,,,
catalogos_paises29,BIH,Bosnia y Herzegovina,,,,
catalogos_paises30,BWA,Botsuana,,,,
catalogos_paises31,BRA,Brasil,,,,
catalogos_paises32,BRN,Brunéi Darussalam,,,,
catalogos_paises33,BGR,Bulgaria,,,,Unión Europea
catalogos_paises34,BFA,Burkina Faso,,,,
catalogos_paises35,BDI,Burundi,,,,
catalogos_paises36,BTN,Bután,,,,
catalogos_paises37,CPV,Cabo Verde,,,,
catalogos_paises38,KHM,Camboya,,,,
catalogos_paises39,CMR,Camerún,,,,
catalogos_paises40,CAN,Canadá,[A-Z][0-9][A-Z] [0-9][A-Z][0-9],[0-9]{9},,TLCAN
catalogos_paises41,QAT,Catar,,,,
catalogos_paises42,BES,"Bonaire, San Eustaquio y Saba",,,,
catalogos_paises43,TCD,Chad,,,,
catalogos_paises44,CHL,Chile,,,,
catalogos_paises45,CHN,China,,,,
catalogos_paises46,CYP,Chipre,,,,Unión Europea
catalogos_paises47,COL,Colombia,,,,
catalogos_paises48,COM,Comoras,,,,
catalogos_paises49,PRK,Corea (la República Democrática Popular de),,,,
catalogos_paises50,KOR,Corea (la República de),,,,
catalogos_paises51,CIV,Côte d'Ivoire,,,,
catalogos_paises52,CRI,Costa Rica,,,,
catalogos_paises53,HRV,Croacia,,,,Unión Europea
catalogos_paises54,CUB,Cuba,,,,
catalogos_paises55,CUW,Curaçao,,,,
catalogos_paises56,DNK,Dinamarca,,,,Unión Europea
catalogos_paises57,DMA,Dominica,,,,
catalogos_paises58,ECU,Ecuador,,,,
catalogos_paises59,EGY,Egipto,,,,
catalogos_paises60,SLV,El Salvador,,,,
catalogos_paises61,ARE,Emiratos Árabes Unidos (Los),,,,
catalogos_paises62,ERI,Eritrea,,,,
catalogos_paises63,SVK,Eslovaquia,,,,Unión Europea
catalogos_paises64,SVN,Eslovenia,,,,Unión Europea
catalogos_paises65,ESP,España,,,,Unión Europea
catalogos_paises66,USA,Estados Unidos (los),[0-9]{5}(-[0-9]{4})?,[0-9]{9},,TLCAN
catalogos_paises67,EST,Estonia,,,,Unión Europea
catalogos_paises68,ETH,Etiopía,,,,
catalogos_paises69,PHL,Filipinas (las),,,,
catalogos_paises70,FIN,Finlandia,,,,Unión Europea
catalogos_paises71,FJI,Fiyi,,,,
catalogos_paises72,FRA,Francia,,,,Unión Europea
catalogos_paises73,GAB,Gabón,,,,
catalogos_paises74,GMB,Gambia (La),,,,
catalogos_paises75,GEO,Georgia,,,,
catalogos_paises76,GHA,Ghana,,,,
catalogos_paises77,GIB,Gibraltar,,,,
catalogos_paises78,GRD,Granada,,,,
catalogos_paises79,GRC,Grecia,,,,Unión Europea
catalogos_paises80,GRL,Groenlandia,,,,
catalogos_paises81,GLP,Guadalupe,,,,
catalogos_paises82,GUM,Guam,,,,
catalogos_paises83,GTM,Guatemala,,,,
catalogos_paises84,GUF,Guayana Francesa,,,,
catalogos_paises85,GGY,Guernsey,,,,
catalogos_paises86,GIN,Guinea,,,,
catalogos_paises87,GNB,Guinea-Bisáu,,,,
catalogos_paises88,GNQ,Guinea Ecuatorial,,,,
catalogos_paises89,GUY,Guyana,,,,
catalogos_paises90,HTI,Haití,,,,
catalogos_paises91,HND,Honduras,,,,
catalogos_paises92,HKG,Hong Kong,,,,
catalogos_paises93,HUN,Hungría,,,,Unión Europea
catalogos_paises94,IND,India,,,,
catalogos_paises95,IDN,Indonesia,,,,
catalogos_paises96,IRQ,Irak,,,,
catalogos_paises97,IRN,Irán (la República Islámica de),,,,
catalogos_paises98,IRL,Irlanda,,,,Unión Europea
catalogos_paises99,BVT,Isla Bouvet,,,,
catalogos_paises100,IMN,Isla de Man,,,,
catalogos_paises101,CXR,Isla de Navidad,,,,
catalogos_paises102,NFK,Isla Norfolk,,,,
catalogos_paises103,ISL,Islandia,,,,
catalogos_paises104,CYM,Islas Caimán (las),,,,
catalogos_paises105,CCK,Islas Cocos (Keeling),,,,
catalogos_paises106,COK,Islas Cook (las),,,,
catalogos_paises107,FRO,Islas Feroe (las),,,,
catalogos_paises108,SGS,Georgia del sur y las islas sandwich del sur,,,,
catalogos_paises109,HMD,Isla Heard e Islas McDonald,,,,
catalogos_paises110,FLK,Islas Malvinas [Falkland] (las),,,,
catalogos_paises111,MNP,Islas Marianas del Norte (las),,,,
catalogos_paises112,MHL,Islas Marshall (las),,,,
catalogos_paises113,PCN,Pitcairn,,,,
catalogos_paises114,SLB,Islas Salomón (las),,,,
catalogos_paises115,TCA,Islas Turcas y Caicos (las),,,,
catalogos_paises116,UMI,Islas de Ultramar Menores de Estados Unidos (las),,,,
catalogos_paises117,VGB,Islas Vírgenes (Británicas),,,,
catalogos_paises118,VIR,Islas Vírgenes (EE.UU.),,,,
catalogos_paises119,ISR,Israel,,,,
catalogos_paises120,ITA,Italia,,,,Unión Europea
catalogos_paises121,JAM,Jamaica,,,,
catalogos_paises122,JPN,Japón,,,,
catalogos_paises123,JEY,Jersey,,,,
catalogos_paises124,JOR,Jordania,,,,
catalogos_paises125,KAZ,Kazajistán,,,,
catalogos_paises126,KEN,Kenia,,,,
catalogos_paises127,KGZ,Kirguistán,,,,
catalogos_paises128,KIR,Kiribati,,,,
catalogos_paises129,KWT,Kuwait,,,,
catalogos_paises130,LAO,"Lao, (la) República Democrática Popular",,,,
catalogos_paises131,LSO,Lesoto,,,,
catalogos_paises132,LVA,Letonia,,,,Unión Europea
catalogos_paises133,LBN,Líbano,,,,
catalogos_paises134,LBR,Liberia,,,,
catalogos_paises135,LBY,Libia,,,,
catalogos_paises136,LIE,Liechtenstein,,,,
catalogos_paises137,LTU,Lituania,,,,Unión Europea
catalogos_paises138,LUX,Luxemburgo,,,,Unión Europea
catalogos_paises139,MAC,Macao,,,,
catalogos_paises140,MDG,Madagascar,,,,
catalogos_paises141,MYS,Malasia,,,,
catalogos_paises142,MWI,Malaui,,,,
catalogos_paises143,MDV,Maldivas,,,,
catalogos_paises144,MLI,Malí,,,,
catalogos_paises145,MLT,Malta,,,,Unión Europea
catalogos_paises146,MAR,Marruecos,,,,
catalogos_paises147,MTQ,Martinica,,,,
catalogos_paises148,MUS,Mauricio,,,,
catalogos_paises149,MRT,Mauritania,,,,
catalogos_paises150,MYT,Mayotte,,,,
catalogos_paises151,MEX,México,[0-9]{5},"[A-Z&Ñ]{3,4}[0-9]{2}(0[1-9]|1[012])(0[1-9]|[12][0-9]|3[01])[A-Z0-9]{2}[0
-9A]",Lista del SAT,TLCAN
catalogos_paises152,FSM,Micronesia (los Estados Federados de),,,,
catalogos_paises153,MDA,Moldavia (la República de),,,,
catalogos_paises154,MCO,Mónaco,,,,
catalogos_paises155,MNG,Mongolia,,,,
catalogos_paises156,MNE,Montenegro,,,,
catalogos_paises157,MSR,Montserrat,,,,
catalogos_paises158,MOZ,Mozambique,,,,
catalogos_paises159,NAM,Namibia,,,,
catalogos_paises160,NRU,Nauru,,,,
catalogos_paises161,NPL,Nepal,,,,
catalogos_paises162,NIC,Nicaragua,,,,
catalogos_paises163,NER,Níger (el),,,,
catalogos_paises164,NGA,Nigeria,,,,
catalogos_paises165,NIU,Niue,,,,
catalogos_paises166,NOR,Noruega,,,,
catalogos_paises167,NCL,Nueva Caledonia,,,,
catalogos_paises168,NZL,Nueva Zelanda,,,,
catalogos_paises169,OMN,Omán,,,,
catalogos_paises170,NLD,Países Bajos (los),,,,Unión Europea
catalogos_paises171,PAK,Pakistán,,,,
catalogos_paises172,PLW,Palaos,,,,
catalogos_paises173,PSE,"Palestina, Estado de",,,,
catalogos_paises174,PAN,Panamá,,,,
catalogos_paises175,PNG,Papúa Nueva Guinea,,,,
catalogos_paises176,PRY,Paraguay,,,,
catalogos_paises177,PER,Perú,,,,
catalogos_paises178,PYF,Polinesia Francesa,,,,
catalogos_paises179,POL,Polonia,,,,Unión Europea
catalogos_paises180,PRT,Portugal,,,,Unión Europea
catalogos_paises181,PRI,Puerto Rico,,,,
catalogos_paises182,GBR,Reino Unido (el),,,,Unión Europea
catalogos_paises183,CAF,República Centroafricana (la),,,,
catalogos_paises184,CZE,República Checa (la),,,,Unión Europea
catalogos_paises185,MKD,Macedonia (la antigua República Yugoslava de),,,,
catalogos_paises186,COG,Congo,,,,
catalogos_paises187,COD,Congo (la República Democrática del),,,,
catalogos_paises188,DOM,República Dominicana (la),,,,
catalogos_paises189,REU,Reunión,,,,
catalogos_paises190,RWA,Ruanda,,,,
catalogos_paises191,ROU,Rumania,,,,Unión Europea
catalogos_paises192,RUS,"Rusia, (la) Federación de",,,,
catalogos_paises193,ESH,Sahara Occidental,,,,
catalogos_paises194,WSM,Samoa,,,,
catalogos_paises195,ASM,Samoa Americana,,,,
catalogos_paises196,BLM,San Bartolomé,,,,
catalogos_paises197,KNA,San Cristóbal y Nieves,,,,
catalogos_paises198,SMR,San Marino,,,,
catalogos_paises199,MAF,San Martín (parte francesa),,,,
catalogos_paises200,SPM,San Pedro y Miquelón,,,,
catalogos_paises201,VCT,San Vicente y las Granadinas,,,,
catalogos_paises202,SHN,"Santa Helena, Ascensión y Tristán de Acuña",,,,
catalogos_paises203,LCA,Santa Lucía,,,,
catalogos_paises204,STP,Santo Tomé y Príncipe,,,,
catalogos_paises205,SEN,Senegal,,,,
catalogos_paises206,SRB,Serbia,,,,
catalogos_paises207,SYC,Seychelles,,,,
catalogos_paises208,SLE,Sierra leona,,,,
catalogos_paises209,SGP,Singapur,,,,
catalogos_paises210,SXM,Sint Maarten (parte holandesa),,,,
catalogos_paises211,SYR,"Siria, (la) República Árabe",,,,
catalogos_paises212,SOM,Somalia,,,,
catalogos_paises213,LKA,Sri Lanka,,,,
catalogos_paises214,SWZ,Suazilandia,,,,
catalogos_paises215,ZAF,Sudáfrica,,,,
catalogos_paises216,SDN,Sudán (el),,,,
catalogos_paises217,SSD,Sudán del Sur,,,,
catalogos_paises218,SWE,Suecia,,,,Unión Europea
catalogos_paises219,CHE,Suiza,,,,
catalogos_paises220,SUR,Surinam,,,,
catalogos_paises221,SJM,Svalbard y Jan Mayen,,,,
catalogos_paises222,THA,Tailandia,,,,
catalogos_paises223,TWN,Taiwán (Provincia de China),,,,
catalogos_paises224,TZA,"Tanzania, República Unida de",,,,
catalogos_paises225,TJK,Tayikistán,,,,
catalogos_paises226,IOT,Territorio Británico del Océano Índico (el),,,,
catalogos_paises227,ATF,Territorios Australes Franceses (los),,,,
catalogos_paises228,TLS,Timor-Leste,,,,
catalogos_paises229,TGO,Togo,,,,
catalogos_paises230,TKL,Tokelau,,,,
catalogos_paises231,TON,Tonga,,,,
catalogos_paises232,TTO,Trinidad y Tobago,,,,
catalogos_paises233,TUN,Túnez,,,,
catalogos_paises234,TKM,Turkmenistán,,,,
catalogos_paises235,TUR,Turquía,,,,
catalogos_paises236,TUV,Tuvalu,,,,
catalogos_paises237,UKR,Ucrania,,,,
catalogos_paises238,UGA,Uganda,,,,
catalogos_paises239,URY,Uruguay,,,,
catalogos_paises240,UZB,Uzbekistán,,,,
catalogos_paises241,VUT,Vanuatu,,,,
catalogos_paises242,VAT,Santa Sede[Estado de la Ciudad del Vaticano] (la),,,,
catalogos_paises243,VEN,"Venezuela, República Bolivariana de",,,,
catalogos_paises244,VNM,Viet Nam,,,,
catalogos_paises245,WLF,Wallis y Futuna,,,,
catalogos_paises246,YEM,Yemen,,,,
catalogos_paises247,DJI,Yibuti,,,,
catalogos_paises248,ZMB,Zambia,,,,
catalogos_paises249,ZWE,Zimbabue,,,,
catalogos_paises250,ZZZ,Países no declarados,,,,
